id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
alpine-f1-team-fan-token,alpine,Alpine F1 Team Fan Token,0.929115,10553961,1598,37161833,11009499,0.936008,0.845558,0.077208,9.06302,872193,9.00862,11360000.0,40000000.0,40000000.0,11.29,-91.76251,2022-03-12T11:02:59.257Z,0.593171,56.81896,2025-06-22T20:37:22.807Z,2025-07-11T13:53:12.407Z
alpha-fi,alpha,Alpha Fi,1.13,10517724,1602,11242088,12251.68,1.13,1.036,0.083944,8.05558,711102,7.25124,9355666.987116609,10000000.0,10000000.0,5.39,-79.15263,2025-01-22T04:13:22.798Z,0.710976,58.11712,2024-10-05T16:59:55.120Z,2025-07-11T13:53:12.316Z
alpha-trader-exchange-atx,sn63,Alpha Trader Exchange (ATX),5.61,9634487,1661,9634487,2959360,7.39,5.29,-1.3646893584739583,-19.57017,-2255768.5902164727,-18.97157,1717798.820567936,1717798.820567936,21000000.0,8.76,-36.01014,2025-06-30T10:12:11.429Z,0.757059,640.85454,2025-06-08T10:54:33.668Z,2025-07-11T13:53:13.546Z
ami,ami,Amnis Finance,0.106702,9470772,1669,106536565,312910,0.112351,0.104901,0.00152656,1.45144,96813,1.03279,88896910.71398208,1000000000.0,1000000000.0,0.136987,-22.17264,2025-06-25T23:35:31.698Z,0.03618718,194.61603,2025-03-28T07:40:49.465Z,2025-07-11T13:53:12.333Z
allianceblock-nexera,nxra,Nexera,0.00906238,9260124,1694,18122196,67373,0.00917208,0.00801615,0.00071325,8.54286,668306,7.7784,1021964924.0,2000000000.0,2000000000.0,0.286244,-96.83824,2024-03-26T12:42:11.439Z,0.00739797,22.33558,2025-06-28T22:31:09.468Z,2025-07-11T13:53:12.341Z
aleph-zero,azero,Aleph Zero,0.02710535,8194333,1760,14094793,310927,0.0298803,0.02484468,0.001915,7.60213,451902,5.83669,302314000.0,520000000.0,520000000.0,3.09,-99.12011,2022-04-15T00:09:30.642Z,0.01848692,47.29072,2025-06-06T02:17:18.442Z,2025-07-11T13:53:12.332Z
altered-state-token,asto,Altered State Machine,0.00973068,7960080,1786,23108830,669268,0.00973282,0.00950934,-2.74063508179e-07,-0.00282,-27559.44112514425,-0.34503,821193967.2351687,2384000000.0,2384000000.0,0.890471,-98.90953,2022-04-07T04:39:54.098Z,0.00774778,25.32983,2025-04-09T11:01:54.294Z,2025-07-11T13:53:12.328Z
allo,rwa,Allo,0.00425374,7663520,1824,42575110,7033542,0.00434163,0.00382057,0.00035241,9.03309,646093,9.20698,1800000000.0,10000000000.0,10000000000.0,0.01809004,-76.62338,2025-05-24T04:25:24.276Z,0.00343733,23.0267,2025-07-07T12:27:23.070Z,2025-07-11T13:53:12.358Z
altcoinist-token,altt,Altcoinist Token,0.02742189,6704344,1911,27364668,8493.02,0.02746288,0.0240313,0.00339059,14.10908,782347,13.21086,245000000.0,1000000000.0,1000000000.0,0.03869625,-29.39962,2025-06-11T17:25:12.196Z,0.00368481,641.41342,2025-04-07T07:05:03.091Z,2025-07-11T13:53:12.327Z
alpha-city,ameta,Alpha City,0.00054933,5472864,2061,5472864,17091.54,0.00060079,0.00043582,0.00010191,22.77736,984838,21.94367,10000000000.0,10000000000.0,10000000000.0,0.00084459,-35.20059,2025-06-10T15:21:24.141Z,0.00016427,233.15572,2025-04-22T22:55:26.910Z,2025-07-11T13:53:12.366Z
